Speaker,Timestamp,Utterance,File Origin,Original Row,Segment Type
Michelle Sullivan,00:17:48.770 --> 00:17:56.039,They had. We're providing a small grant to do some further iteration with them on high school fellows.,WY.10-03-2024,166,Reference
Michelle Sullivan,00:17:56.100 --> 00:17:59.190,They've received training from,WY.10-03-2024,167,Reference
Michelle Sullivan,00:17:59.480 --> 00:18:03.609,from Emily on asking purposeful questions.,WY.10-03-2024,168,Reference
Michelle Sullivan,00:18:04.127 --> 00:18:10.742,There will be that sort of coaching component. There will be a sort of re the resource of,WY.10-03-2024,169,Reference
Michelle Sullivan,00:18:11.310 --> 00:18:18.359,kind of community of practice with the boys and girls clubs. So the peer to peer learning that's happening across,WY.10-03-2024,170,Reference
Michelle Sullivan,00:18:19.051 --> 00:18:24.759,and so then I think it will be very similar in the Boys and Girls Club. They're a little further behind.,WY.10-03-2024,171,Coding
Michelle Sullivan,00:18:24.810 --> 00:18:33.549,"but they will also have a and these same size, small grant. And this is like a $2,500, grant, or $3,300, I think, is maybe.",WY.10-03-2024,172,Coding
Michelle Sullivan,00:18:33.680 --> 00:18:35.289,And it came from,WY.10-03-2024,173,Coding
Michelle Sullivan,00:18:35.370 --> 00:18:42.310,our our 1 million girls moonshot resource from last year. So we were able to offer that,WY.10-03-2024,174,Coding
Michelle Sullivan,00:18:44.690 --> 00:18:53.770,"And then I think, what that resource coming back as we're thinking about for us, they are case studies, right? So that we're learning",WY.10-03-2024,175,Coding
