Speaker,Timestamp,Utterance,File Origin,Original Row,Segment Type
Emily,00:25:49.540 --> 00:25:53.870,And they have a connection to the district. But we're our,WY.11-11-2024,226,Reference
Emily,00:25:53.900 --> 00:25:57.170,for our intents and purposes. We're working with the after school programmer.,WY.11-11-2024,227,Reference
Maggie Dahn,00:26:01.570 --> 00:26:05.149,And was there. There! I'm sorry that what there was,WY.11-11-2024,228,Reference
Maggie Dahn,00:26:05.380 --> 00:26:08.979,more contact there with that with those over the past 2 months.,WY.11-11-2024,229,Reference
Emily,00:26:09.230 --> 00:26:13.759,"Yes, so planning for the High school pilot.",WY.11-11-2024,230,Reference
Emily,00:26:14.460 --> 00:26:19.660,working with the schools to get permission for us to use their facilities,WY.11-11-2024,231,Coding
Emily,00:26:22.730 --> 00:26:27.060,"and also working with their after school staff, who are",WY.11-11-2024,232,Coding
Emily,00:26:27.120 --> 00:26:29.990,"oftentimes in school staff, as well",WY.11-11-2024,233,Coding
Emily,00:26:31.090 --> 00:26:33.569,to map out the feasibility of the project.,WY.11-11-2024,234,Coding
Michelle Sullivan,00:26:43.750 --> 00:26:47.260,"Science. Zone, Emily, do.",WY.11-11-2024,235,Coding
