Speaker,Timestamp,Utterance,File Origin,Original Row,Segment Type
Emily,00:39:15.270 --> 00:39:18.609,"And I think, in addition to that, it's also",WY.11-11-2024,346,Reference
Emily,00:39:18.620 --> 00:39:30.740,their director wants to give them some ideas beyond. Just after school is homework. They have a pretty parochial understanding of what after school looks like. And so by doing this more youth centered,WY.11-11-2024,347,Reference
Emily,00:39:30.940 --> 00:39:40.180,"program concept, we're then opening up opportunities both to the high school students to see different features for themselves, but then also for the middle school students to see",WY.11-11-2024,348,Reference
Emily,00:39:40.540 --> 00:39:45.419,"how and where to go. In after school, in a town of about 200 kids",WY.11-11-2024,349,Reference
Emily,00:39:45.540 --> 00:39:48.910,that they don't really have other options.,WY.11-11-2024,350,Reference
Seth Corrigan,00:39:48.910 --> 00:39:49.600,Wow.,WY.11-11-2024,351,Coding
Seth Corrigan,00:39:51.630 --> 00:39:52.420,Okay.,WY.11-11-2024,352,Coding
Michelle Sullivan,00:39:52.420 --> 00:40:00.529,"Incidentally, I just would mention, I don't know that this necessarily relates to this, but we are in the process of rebranding as an organization",WY.11-11-2024,353,Coding
Michelle Sullivan,00:40:00.690 --> 00:40:05.860,and going from the Wyoming after school alliance to the Wyoming enrichment network,WY.11-11-2024,354,Coding
Michelle Sullivan,00:40:06.080 --> 00:40:09.900,with the Tagline thrive beyond the bell.,WY.11-11-2024,355,Coding
